Cliente,Fecha,Deuda,Concepto
Juan Pérez López,15/01/2025,1250.00,Préstamo personal
María González Ramírez,18-01-2024,3500.00,Tarjeta de crédito
Carlos Mendoza,01/15/2025,750.50,Cuota préstamo
Juan Pérez López,15/01/2025,1250.00,Préstamo personal
María González Ramírez,18/01/2025,3500.00,Tarjeta de crédito vencida
Carlos Andrés Mendoza,22/01/2025,750.50,Cuota impaga de préstamo
Ana Lucía Torres,25/01/2025,2300.00,Factura 14578
Roberto Jiménez Sánchez,02/02/2025,4200.00,Financiamiento vehicular
Sofía Hernández Castro,05/02/2025,1750.00,Sobregiro cuenta corriente
Luis Fernando Rojas,10/02/2025,980.00,Crédito educativo
Patricia Vargas Díaz,14/02/2025,3200.00,Préstamo hipotecario
Jorge Eduardo Silva,18/02/2025,1500.50,Tarjeta de crédito
Diana Carolina Núñez,22/02/2025,2750.00,Inversión fallida
Miguel Ángel Castro,25/02/2025,1800.00,Adelanto de sueldo
Laura Marcela Pineda,01/03/2025,2250.00,Préstamo rápido
Oscar David Ramírez,05/03/2025,3100.50,Compra de electrodomésticos
Sandra Milena Gómez,08/03/2025,4200.00,Crédito vehicular
Ricardo Alfonso Pinto,12/03/2025,1500.00,Tarjeta departamental
Claudia Patricia Ruiz,15/03/2025,3800.00,Préstamo educativo
Fernando José Herrera,20/03/2025,2900.00,Inversión
Gabriela Alejandra Soto,25/03/2025,1750.50,Sobregiro
Mauricio Esteban Londoño,28/03/2025,2250.00,Capital de trabajo
Juliana Andrea Vargas,02/04/2025,4100.00,Crédito libre inversión
